Id,Nom,Bibliothèque de formes,ID de page,Contenu par,Groupe,Source de la ligne,Destination de la ligne,Source de la flèche,Destination de la flèche,Labels,Statut,Zone de texte 1,Zone de texte 2,Zone de texte 3,Zone de texte 4,Zone de texte 5,Zone de texte 6,Zone de texte 7,Zone de texte 8,Zone de texte 9,Zone de texte 10,Zone de texte 11,Zone de texte 12,Zone de texte 13,Zone de texte 14,Zone de texte 15,Zone de texte 16,Zone de texte 17,Zone de texte 18,Zone de texte 19,Zone de texte 20,Zone de texte 21,Zone de texte 22,Zone de texte 23,Zone de texte 24,Zone de texte 25,Zone de texte 26,Zone de texte 27,Zone de texte 28,Zone de texte 29,Zone de texte 30,Zone de texte 31,Zone de texte 32,Zone de texte 33,Zone de texte 34,Zone de texte 35,Zone de texte 36,Zone de texte 37,Zone de texte 38,Zone de texte 39,Zone de texte 40,Zone de texte 41,Zone de texte 42,Zone de texte 43,Zone de texte 44,Zone de texte 45,Zone de texte 46,Zone de texte 47,Zone de texte 48,Zone de texte 49,Zone de texte 50,Zone de texte 51,Zone de texte 52,Zone de texte 53,Zone de texte 54,Zone de texte 55,Zone de texte 56,Zone de texte 57,Zone de texte 58,Commentaires,Notes,Identification de la forme,SpreadsheetColumnParentKey,SpreadsheetRowParentKey
1,Document,,,,,,,,,,Brouillon,django_stock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,786327e6-745d-4881-95e1-39f3fdf33c66,,
2,Page,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0_0,,
3,SparkFrameBlock,Formes Lucidspark,2,,,,,,,,,DATABASE Stock Management multi-companies - Django Web App,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9Jse6nYtDxD.,,
4,Texte,Standard,2,3,,,,,,,,                                            ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEwhnxHAFfoR,COLUMN,ROW
5,"Entité (clé, champ, type)",Entité-Association,2,3,,,,,,,,"catalogue_attributevalue (TranslatableModel, CompanyOwned)",V1,id PK,bigint AUTO,V1,"company_id FK 
(de CompanyOwned)",bigint,V1,attributekey_id FK,bigint,V1,  value,varchar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76uhYQJz8Q12,COLUMN,ROW
6,"Entité (clé, champ, type)",Entité-Association,2,3,,,,,,,,catalogue_productattributes (CompanyOwned),V1,id PK,bigint AUTO,V1,"company_id FK 
(de CompanyOwned)",bigint,V1,product_id FK,bigint,V1,attribute_value_id FK,bigint,V1,is_main,tinyint d=False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y7uh.rBLvnXJ,COLUMN,ROW
7,"Entité (clé, champ, type)",Entité-Association,2,3,,,,,,,,"catalogue_category (TranslatableModel, MP_Node, CompanyOwned)",MVP,id PK,bigint,MVP,"company_id FK
(de CompanyOwned)",bigint,MVP,slug,varchar,MVP,  name,varchar,V1,image_id FK core.Image,bigint NULLABLE d=NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9Jse6~MmMUWK,COLUMN,ROW
8,"Entité (clé, champ, type)",Entité-Association,2,3,,,,,,,,catalogue_productcategory (CompanyOwned), ,id PK,bigint AUTO,MVP,"company_id FK
(de CompanyOwned)",bigint,MVP,product_family_id FK,bigint,MVP,category_id FK,bigint,MVP,is_main,tinyint ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dELeKDkMPP2R,COLUMN,ROW
9,"Entité (clé, champ, type)",Entité-Association,2,3,,,,,,,,"catalogue_attributekey (TranslatableModel, CompanyOwned)",V1,id PK,bigint AUTO,V1,"company_id FK 
(de CompanyOwned)",bigint,V1,  key,varchar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rQuhI0FD8aNf,COLUMN,ROW
10,"Entité (clé, champ, type)",Entité-Association,2,3,,,,,,,,catalogue_productimage (CompanyOwned),V1,id PK,bigint AUTO,V1,"company_id FK 
(de CompanyOwned)",bigint,V1,product_id FK,bigint,V1,image_id FK core.Image,bigint,V1,is_main,tinyint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xIAhZ1TXgNhz,COLUMN,ROW
11,"Entité (clé, champ, type)",Entité-Association,2,3,,,,,,,,catalogue_productfamilyimage (CompanyOwned),V1,id PK,bigint AUTO,V1,"company_id FK 
(de CompanyOwned)",bigint,V1,product_family_id FK,bigint,V1,image_id FK core.Image,bigint,V1,is_main,tinyint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EHAh4wIIYd-_,COLUMN,ROW
12,"Entité (clé, champ, type)",Entité-Association,2,3,,,,,,,,"catalogue_productpackaging (TranslatableModel, CompanyOwned, AbstractAudit)",MVP,id PK,bigint AUTO,MVP,"company_id FK
(de CompanyOwned)",bigint,MVP,product_id FK,bigint,MVP,sku,varchar,V1,  name,varchar,V1,  code,varchar NULLABLE,V1,base_uom_id FK,bigint,V1,ratio,decimal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,u0FiFgw9z9y8,COLUMN,ROW
13,"Entité (clé, champ, type)",Entité-Association,2,3,,,,,,,,"catalogue_productconfig (CompanyOwned, AbstractAudit)",V1,id PK,bigint AUTO,V1,"company_id FK
(de CompanyOwned)",bigint,V1,product_id FK,bigint,V1,location_id FK,bigint,V1,product_packaging_id FK,bigint,V1,alert_threshold,decimal >=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KkzetVn5YwqO,COLUMN,ROW
